ingredient,count
crabmeat,1737
chopped tomatoes,1736
strawberry,1735
jalapeno pepper,1726
chopped fresh basil,1725
yeast,1722
hoisin sauce,1718
stewed tomatoes,1712
cabbage,1709
chickpeas,1702
parsley chopped,1700
eggplant,1698
pork tenderloin,1695
semisweet chocolate,1675
pasta,1666
kidney beans,1662
fresh spinach,1657
chili sauce,1656
jalapeno,1649
garam masala,1647
pumpkin pie spice,1647
pumpkin,1641
spaghetti sauce,1634
white rice,1632
grated nutmeg,1624
ripe tomatoes,1612
soy sauce,1603
dill,1602
red onions,1579
yellow cornmeal,1578
shredded coconut,1576
ripe bananas,1569
pork chops,1566
lime,1563
sherry wine,1546
tomato puree,1544
french bread,1544
salt black pepper,1542
fresh thyme,1540
artichoke hearts,1538
whole kernel corn,1538
baby carrots,1535
basil leaves,1519
fresh basil chopped,1518
poultry seasoning,1518
cooked chicken,1499
russet potatoes,1495
plum tomatoes,1491
white flour,1488
yellow cake mix,1481
green bell pepper chopped,1479
kosher salt,1478
tomato juice,1470
beef,1470
golden raisin,1465
coconut,1448
celery rib,1429
tortilla chips,1427
sliced green onion,1425
butternut squash,1423
whipped cream,1420
hamburger,1397
salmon fillets,1387
dry breadcrumbs,1385
blue cheese,1385
capers,1378
white bread,1377
flaked coconut,1376
lasagna noodles,1375
red bell peppers,1374
chopped green pepper,1369
oyster sauce,1367
black peppercorns,1365
unflavored gelatin,1362
whole cloves,1361
chopped green chilies,1355
ice cubes,1343
cumin seed,1342
frozen spinach,1335
sunflower seeds,1333
raspberries,1332
bread,1330
carrots chopped,1326
unsweetened chocolate,1325
saffron,1323
medium tomatoes,1322
cinnamon sticks,1320
ground turkey,1319
red kidney beans,1308
cajun seasoning,1306
large potatoes,1300
yellow bell pepper,1296
grated lemon zest,1289
medium potatoes,1282
corn,1278
pecan,1271
white chocolate chips,1261
pumpkin puree,1259
gingerroot,1258
parsley flakes,1258
lamb,1241
chicken soup,1241
avocados,1238
goat cheese,1224
monterey jack cheese,1222
wheat germ,1217
tomato soup,1216
mushroom soup,1205
sauerkraut,1194
wedge,1193
refried beans,1192
celery ribs chopped,1186
mashed potatoes,1184
panko breadcrumbs,1181
smoked paprika,1179
roma tomatoes,1178
pinto beans,1175
oranges,1170
bean sprouts,1164
fresh blueberries,1163
diced celery,1162
green pepper chopped,1157
yellow onions,1154
unsweetened cocoa,1149
peas,1149
minced fresh parsley,1145
sweet potato,1140
leeks,1133
spring onions,1129
penne pasta,1127
caraway,1118
hamburger buns,1118
diced onion,1116
nuts,1111
jalapeno peppers,1090
bittersweet chocolate,1087
grape tomatoes,1084
lemon pepper,1082
onion chopped,1076
chocolate,1072
canned pumpkin,1065
dried onion flakes,1061
soda, 0
